ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
1 Chronicles 2:53,1 Chronicles,2,53,0,none,different_from_both,"And the families of Kirjathjearim were the Ithrites, Puhites, Shumathites, and Mishraites; from these came out the Zareathites and Eshtaulites.","And the families of Kirjathjearim; the Ithrites, and the Puhites, and the Shumathites, and the Mishraites; of them came the Zareathites, and the Eshtaulites,","and Umasphaë, cities of Jair; Æthalim, and Miphithim, and Hesamathim, and Hemasaraim; from these went forth the Sarathæans, and the sons of Esthaam.",0.861,0.486
1 Samuel 15:22,1 Samuel,15,22,0,none,different_from_both,"And Samuel said, Is it acceptable to the Lord, whole burnt offerings and sacrifices, as hearing the voice of the Lord? Behold, hearing is better than sacrifice, and listening than the fat of rams.","And Samuel said, Has the LORD as great delight in burnt offerings and sacrifices, as in obeying the voice of the LORD? Behold, to obey is better than sacrifice, and to hearken than the fat of rams.","And Samuel said, Does the Lord take pleasure in whole-burnt-offerings and sacrifices, as in hearing the words of the Lord? behold, obedience is better than a good sacrifice, and hearkening than the fat of rams.",0.800,0.427
Zechariah 1:14,Zechariah,1,14,0,none,different_from_both,"And angel speaking in me said to me, Cry out, saying, Thus says the Lord Almighty: I have been jealous for Jerusalem and for Zion with great jealousy,","So the angel that communed with me said unto me, Cry you, saying, Thus says the LORD of hosts; I am jealous for Jerusalem and for Zion with a great jealousy.","And the angel that spoke with me said to me, Cry out and say,",0.795,0.422
Exodus 16:4,Exodus,16,4,0,none,different_from_both,"Then the Lord said to Moses, ""Behold, I am raining bread for you from heaven, and the people will go out and gather what is needed for the day, day by day, so that I may test them whether they will walk in my law or not.""","Then said the LORD unto Moses, Behold, I will rain bread from heaven for you; and the people shall go out and gather a certain rate every day, that I may prove them, whether they will walk in my law, or no.","And the Lord said to Moses, Behold, I will rain bread upon you out of heaven: and the people shall go forth, and they shall gather their daily portion for the day, that I may try them whether they will walk in my law or not.",0.767,0.394
1 Chronicles 14:7,1 Chronicles,14,7,0,none,different_from_both,and Elishama and Beeliada and Elpalet.,"And Elishama, and Beeliada, and Eliphalet.","and Elisamae, and Eliade, and Eliphala.",0.974,0.603
Exodus 34:24,Exodus,34,24,0,none,different_from_both,"For when I cast out the nations before your face and enlarge your borders, no one shall desire your land when you go up to appear before the Lord your God three times in the year.","For I will cast out the nations before you, and enlarge your borders: neither shall any man desire your land, when you shall go up to appear before the LORD your God three times in the year.","For when I shall have cast out the nations before thy face, and shall have enlarged thy coasts, no one shall desire thy land, whenever thou mayest go up to appear before the Lord thy God, three times in the year.",0.898,0.531
2 Kings 25:23,2 Kings,25,23,0,none,different_from_both,"And all the commanders of the force, they and their men, heard that the king of Babylon appointed Gedaliah, and they came to Gedaliah at Mizpah, even Ishmael son of Nethaniah and Johanan son of Careah and Seraiah son of Tanhumeth the Netophathite and Iezonias son of the Maachathite, they and their men.","And when all the captains of the armies, they and their men, heard that the king of Babylon had made Gedaliah governor, there came to Gedaliah to Mizpah, even Ishmael the son of Nethaniah, and Johanan the son of Careah, and Seraiah the son of Tanhumeth the Netophathite, and Jaazaniah the son of a Maachathite, they and their men.","And all the captains of the host, they and their men, heard that the king of Babylon had thus appointed Godolias, and they came to Godolias to Massephath, both Ismael the son of Nathanias, and Jona son of Careth, and Saraias, son of Thanamath the Netophathite, and Jezonias son of a Machathite, they and their men.",0.770,0.406
2 Samuel 5:5,2 Samuel,5,5,0,none,different_from_both,"In Hebron he reigned over Judah seven years and six months, and in Jerusalem he reigned thirty-three years over all Israel and Judah.",In Hebron he reigned over Judah seven years and six months: and in Jerusalem he reigned thirty and three years over all Israel and Judah.,"Seven years and six months he reigned in Chebron over Juda, and thirty-three years he reigned over all Israel and Juda in Jerusalem.",0.985,0.621
Isaiah 19:23,Isaiah,19,23,0,none,different_from_both,"In that day there will be way from Egypt to Assyrians, and Assyrians will enter Egypt and Egyptians will go to Assyrians, and Egyptians will serve Assyrians.","In that day shall there be a highway out of Egypt to Assyria, and the Assyrian shall come into Egypt, and the Egyptian into Assyria, and the Egyptians shall serve with the Assyrians.","In that day there shall be a way from Egypt to the Assyrians, and the Assyrians shall enter into Egypt, and the Egyptians shall go to the Assyrians, and the Egyptians shall serve the Assyrians.",0.765,0.408
Genesis 46:13,Genesis,46,13,0,none,different_from_both,And the sons of Issachar: Tola and Puah and Job and Shimron.,"And the sons of Issachar; Tola, and Phuvah, and Job, and Shimron.","And the sons of Phares were Esron, and Jemuel. And the sons of Issachar; Thola, and Phua, and Asum, and Sambran.",0.983,0.626
Numbers 22:34,Numbers,22,34,0,none,different_from_both,"And Balaam said to the angel of the Lord, I sinned, for I did not know that you stood against me in the road to meet me. And now, if it does not please you, I will turn back.","And Balaam said unto the angel of the LORD, I have sinned; for I knew not that you stood in the way against me: now therefore, if it displease you, I will get me back again.","And Balaam said to the angel of the Lord, I have sinned, for I did not know that thou wert standing opposite in the way to meet me; and now if it shall not be pleasing to thee for me to go on, I will return.",0.764,0.411
Ezra 9:13,Ezra,9,13,0,none,different_from_both,"And after all that came upon us for our evil deeds and our great trespass, since you, our God, lightened from our lawlessnesses and gave us such deliverance,","And after all that has come upon us for our evil deeds, and for our great trespass, seeing that you our God have punished us less than our iniquities deserve, and have given us such deliverance as this;","And after all that is come upon us because of our evil deeds, and our great trespass, it is clear that there is none such as our God, for thou hast lightly visited our iniquities, and given us deliverance;",0.752,0.402
Judges 14:6,Judges,14,6,0,none,different_from_both,"And the Spirit of the Lord rushed upon him, and he tore it apart as one tears apart a kid of the goats, and there was nothing in his hand. And he did not report to his father or his mother what he had done.","And the Spirit of the LORD came mightily upon him, and he rent him as he would have rent a kid, and he had nothing in his hand: but he told not his father or his mother what he had done.","And the Spirit of the Lord came powerfully upon him, and he crushed him as he would have crushed a kid of the goats, and there was nothing in his hands: and he told not his father and his mother what he had done.",0.755,0.405
